p_min	n_max	tg_t/s	n_dec	acc	gen	mean_len
0.80	1	83.27	4018	0.99853	2038	2.00
0.80	4	140.15	3803	0.99631	3248	4.84
0.80	8	185.09	3909	0.98090	3613	7.83
0.80	12	215.91	3915	0.96639	3808	10.20
0.80	16	225.15	4090	0.94498	3944	11.65
0.80	24	227.01	3436	0.91226	4126	12.91
0.85	4	136.96	3720	0.99722	3239	4.82
0.85	8	182.89	3866	0.98743	3580	7.73
0.85	12	210.74	3816	0.97526	3759	9.99
0.85	16	222.66	4054	0.95603	3889	11.39
0.85	24	223.90	3378	0.94407	3969	12.39
