p_min	n_max	tg_t/s	n_dec	acc	gen	mean_len
0.80	1	80.13	3862	0.99315	2043	1.99
0.80	4	118.70	3941	0.96933	3326	4.78
0.80	8	189.05	4006	0.93181	3842	8.12
0.80	12	203.85	3699	0.85965	4275	10.07
0.80	16	214.34	3890	0.83315	4489	12.03
0.80	24	202.56	3677	0.70205	5370	12.97
