p_min	n_max	tg_t/s	n_dec	acc	gen	mean_len
0.75	4	104.67	315	0.80874	549	3.98
0.75	5	99.86	302	0.76589	598	4.47
0.75	6	106.83	322	0.78017	605	5.03
0.75	8	127.21	386	0.67083	720	5.31
0.80	4	97.19	586	0.76854	553	3.69
0.80	6	94.23	570	0.70376	638	4.43
0.80	8	135.56	409	0.76744	645	5.95
0.80	12	135.33	412	0.62020	782	5.75
0.85	6	100.54	303	0.78596	584	4.83
0.85	8	129.86	390	0.70796	678	5.36
0.85	12	120.00	362	0.60687	786	5.38
0.90	8	120.66	362	0.72170	636	5.03
0.90	12	118.82	361	0.68383	699	5.73
